Attendance (tickets sold / available),Revenue,Tickets Sold,Tickets Available,Sold Out Concert,City_Adelaide,City_Alexandria,City_Amsterdam,City_Arlington,City_Atlanta,City_Auburn Hills,City_Auckland,City_Austin,City_Baton Rouge,City_Belfast,City_Berlin,City_Biloxi,City_Birmingham,City_Bossier City,City_Brisbane,City_Brussels,City_Buffalo,City_Cadott,City_Calgary,City_Cavendish,City_Charleston,City_Charlotte,City_Charlottesville,City_Chelmsford,City_Cheyenne,City_Chicago,City_Cincinnati,City_Cleveland,City_Cologne,City_Columbia,City_Columbus,City_Corpus Christi,City_Craven,City_Dallas,City_Denver,City_Des Moines,City_Detroit,City_Detroit Lakes,City_Dublin,City_Duluth,City_East Rutherford,City_Edmonton,City_Evansville,City_Fargo,City_Foxborough,City_Fresno,City_Glasgow,City_Glendale,City_Grand Rapids,City_Greensboro,City_Greenville,City_Hartford,City_Hong Kong,City_Houston,City_Indianapolis,City_Jacksonville,City_Jakarta,City_Jonesboro,City_Kansas City,City_Knoxville,City_Kuala Lumpur,City_Lafayette,City_Landover,City_Lexington,City_London,City_Los Angeles,City_Louisville,City_Lubbock,City_Madrid,City_Manchester,City_Melbourne,City_Memphis,City_Miami,City_Miami Gardens,City_Milan,City_Milwaukee,City_Minneapolis,City_Minot,City_Moline,City_Montreal,City_Montville,City_Nampa,City_Nashville,City_Nassau,City_New Brockton,City_New Orleans,City_New York,City_New York City,City_Newark,City_Newcastle,City_North Charleston,City_North Little Rock,City_Oberhausen,City_Oklahoma City,City_Omaha,City_Orlando,City_Osaka,City_Oshkosh,City_Oslo,City_Ottawa,City_Paradise,City_Paris,City_Pasadena,City_Pasay,City_Perth,City_Philadelphia,City_Pittsburgh,City_Portland,City_Quezon City,City_Raleigh,City_Rapid City,City_Rosemont,City_Rotterdam,City_Sacramento,City_Saint Paul,City_Saitama,City_Salt Lake City,City_San Antonio,City_San Diego,City_San Jose,City_Santa Clara,City_Seattle,City_Seoul,City_Shanghai,City_Singapore,City_Spokane,City_St. Louis,City_Sunrise,City_Sydney,City_Tacoma,City_Tampa,City_Tokyo,City_Toronto,City_Tulsa,City_Twin Lakes,City_Uniondale,City_University Park,City_Vancouver,City_Washington,City_Weston-under-Lizard,City_Wichita,City_Winchester,City_Winnipeg,Country_Australia,Country_Belgium,Country_Canada,Country_China,Country_England,Country_France,Country_Germany,Country_Hong Kong,Country_Indonesia,Country_Ireland,Country_Italy,Country_Japan,Country_Malaysia,Country_Netherlands,Country_New Zealand,Country_Northern Ireland,Country_Norway,Country_Philippines,Country_Scotland,Country_Singapore,Country_South Korea,Country_Spain,Country_The Bahamas,Country_United States,Venue_3Arena,Venue_AAMI Park,Venue_ANZ Stadium,Venue_AT&T Center,Venue_AT&T Stadium,Venue_Acer Arena,Venue_Adelaide Entertainment Centre,Venue_Air Canada Centre,Venue_Allianz Stadium,Venue_Allphones Arena,Venue_Allstate Arena,Venue_American Airlines Arena,Venue_American Airlines Center,Venue_American Bank Center Arena,Venue_Amphitheatre Concert Grounds,Venue_Amway Arena,Venue_Amway Center,Venue_Arena at Gwinnett Center,Venue_Arrowhead Stadium,Venue_AsiaWorldArena,Venue_BC Place,Venue_BC Place Stadium,Venue_BJCC Arena,Venue_BOK Center,Venue_BamaJam Farms,Venue_BankAtlantic Center,Venue_Bankers Life Fieldhouse,Venue_Barnett Arena,Venue_Bell Centre,Venue_Bi-Lo Center,Venue_Big Valley Park,Venue_Bishop Ireton High School,Venue_Bradley Center,Venue_Bridgestone Arena,Venue_Brisbane Entertainment Centre,Venue_Bryce Jordan Center,Venue_Burswood Dome,Venue_Cajundome,Venue_Canadian Tire Centre,Venue_Cardinal Stadium,Venue_Cavendish Beach Festival Grounds,Venue_CenturyLink Center,Venue_CenturyLink Center Omaha,Venue_CenturyLink Field,Venue_CenturyTel Center,Venue_Charleston Civic Center,Venue_Chesapeake Energy Arena,Venue_Cheyenne Frontier Days Arena,Venue_City of Rock,Venue_Colonial Life Arena,Venue_Commonwealth Stadium,Venue_Conseco Fieldhouse,Venue_Convocation Center,Venue_Country Thunder Festival,Venue_Cowboys Stadium,Venue_Croke Park,Venue_EnergySolutions Arena,Venue_Etihad Stadium,Venue_Fargodome,Venue_FedExField,Venue_FedExForum,Venue_First Niagara Center,Venue_FirstEnergy Stadium,Venue_Ford Arena,Venue_Ford Center,Venue_Ford Festival Park,Venue_Ford Field,Venue_Forest National,Venue_Frank Erwin Center,Venue_Freedom Hall,Venue_Georgia Dome,Venue_Gila River Arena,Venue_Gillette Stadium,Venue_Greensboro Coliseum,Venue_HP Pavilion,Venue_Hard Rock Stadium,Venue_Heinz Field,Venue_Hyde Park,Venue_Hylands Park,Venue_Imperial Ballroom,Venue_Intrust Bank Arena,Venue_Investors Group Field,Venue_Jacksonville Veterans Memorial Arena,Venue_Jobing.com Arena,Venue_John Paul Jones Arena,Venue_KFC Yum! Center,Venue_KeyArena,Venue_König Pilsener Arena,Venue_LG Arena,Venue_LSU Tiger Stadium,Venue_Lanxess Arena,Venue_Levi's Stadium,Venue_Lincoln Financial Field,Venue_Lucas Oil Stadium,Venue_MEIS Ancol,Venue_MTS Centre,Venue_Madison Square Garden,Venue_Mall of Asia Arena,Venue_Manchester Arena,Venue_Manchester Evening News Arena,Venue_Mandalay Bay Events Center,Venue_Marvel Stadium,Venue_Mediolanum Forum,Venue_Mellon Arena,Venue_Mercedes-Benz Arena,Venue_Mercedes-Benz Stadium,Venue_Mercedes-Benz Superdome,Venue_Merriweather Post Pavilion,Venue_MetLife Stadium,Venue_Minute Maid Park,Venue_Mississippi Coast Coliseum,Venue_Moda Center,Venue_Mohegan Sun Arena,Venue_Mount Smart Stadium,Venue_NRG Stadium,Venue_Nassau Veterans Memorial Coliseum,Venue_Nationals Park,Venue_Nationwide Arena,Venue_New Orleans Arena,Venue_Newcastle Entertainment Centre,Venue_Nippon Budokan,Venue_Nissan Stadium,Venue_North Charleston Coliseum,Venue_North Dakota State Fair Grandstand,Venue_O2 World,Venue_Odyssey Arena,Venue_Ohio Stadium,Venue_Olympic Gymnastics Arena,Venue_Optus Stadium,Venue_Osaka-Jo Hall,Venue_Oslo Spektrum,Venue_PNC Arena,Venue_Palacio de los Deportes,Venue_Pengrowth Saddledome,Venue_Pepsi Center,Venue_Perth Rectangular Stadium,Venue_Petco Park,Venue_Philips Arena,Venue_Power Balance Pavilion,Venue_Prudential Center,Venue_Putra Indoor Stadium,Venue_Quicken Loans Arena,Venue_Qwest Center Omaha,Venue_RBC Center,Venue_Raymond James Stadium,Venue_Rexall Place,Venue_Roberts Municipal Stadium,Venue_Rod Laver Arena,Venue_Rogers Arena,Venue_Rogers Centre,Venue_Rose Bowl,Venue_Rose Garden Arena,Venue_Rupp Arena,Venue_SSE Hydro,Venue_Saitama Super Arena,Venue_Save Mart Center,Venue_Scotiabank Place,Venue_Scottrade Center,Venue_Shepherd's Bush Empire,Venue_Singapore Indoor Stadium,Venue_Sleep Train Arena,Venue_Smart Araneta Coliseum,Venue_Soldier Field,Venue_Soo Pass Ranch,Venue_Spokane Arena,Venue_Sportpaleis van Ahoy,Venue_Sports Authority Field at Mile High,Venue_Sprint Center,Venue_St. Pete Times Forum,Venue_Staples Center,Venue_Suncorp Stadium,Venue_Tacoma Dome,Venue_Tampa Bay Times Forum,Venue_Target Center,Venue_The Dome at America's Center,Venue_The Gabba,Venue_The O2,Venue_The O2 Arena,Venue_The Palace of Auburn Hills,Venue_ThompsonBoling Arena,Venue_Tiger Stadium,Venue_Time Warner Cable Arena,Venue_Tokyo Dome,Venue_Toyota Center,Venue_U.S. Bank Arena,Venue_U.S. Bank Stadium,Venue_United Spirit Arena,Venue_University of Phoenix Stadium,Venue_Valley View Casino Center,Venue_Value City Arena,Venue_Van Andel Arena,Venue_Vector Arena,Venue_Verizon Arena,Venue_Verizon Center,Venue_Wachovia Spectrum,Venue_Wells Fargo Arena,Venue_Wells Fargo Center,Venue_Wembley Arena,Venue_Wembley Stadium,Venue_Weston Park,Venue_XL Center,Venue_Xcel Energy Center,Venue_Zepp Tokyo,Venue_Ziggo Dome,Venue_Zénith de Paris,Venue_iWireless Center,Tour_Fearless_Tour,Tour_Reputation_Stadium_Tour,Tour_Speak_Now_World_Tour,Tour_The_1989_World_Tour,Tour_The_Red_Tour
"26,065 / 26,065",1742669.0,26065.0,26065.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"25,831 / 25,831",1713529.0,25831.0,25831.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"25,831 / 25,831",1713529.0,25831.0,25831.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"13,376 / 13,376",873206.0,13376.0,13376.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"30,458 / 30,458",2497690.0,30458.0,30458.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"30,458 / 30,458",2497690.0,30458.0,30458.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"23,493 / 23,493",1290926.0,23493.0,23493.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"23,493 / 23,493",1290926.0,23493.0,23493.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"27,290 / 27,290",1824743.0,27290.0,27290.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"27,290 / 27,290",1824743.0,27290.0,27290.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"56,868 / 56,868",3726157.0,56868.0,56868.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
